ticker ,Name of Company
ANKITMETAL.NS,Ankit Metal & Power Limited
DEEPAKFERT-EQ.NS,DEEPAK FERTILIZERS AND PETROCHE
BALMLAWRIE.NS,Balmer Lawrie & Co. Limited
CHOLAFIN-EQ.NS,CHOLAMANDALAM INVESTMENT AND FI
ANIKINDS-BE.NS,ANIK INDUSTRIES INR10
MANGALAM-EQ.NS,MANGALAM DRUGS & O INR10
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
VETO.NS,Veto Switchgears and Cables Limited
PGHH.NS,Procter & Gamble Hygiene and Health Care Limited
ANTGRAPHIC-BE.NS,ANTARCTICA LIMITED
TGBHOTELS-EQ.NS,TGB BANQUETS AND H INR10(DEMAT)
SFCL-EQ.NS,STAR FERRO AND CEM INR1
KEMROCK-EQ.NS,KEMROCK INDUSTRIES INR10
SDBL.NS,Som Distilleries & Breweries Limited
ANDHRACEMT-EQ.NS,ANDHRA CEMENTS INR10
OISL.NS,OCL Iron & Steel Limited
DEEPAKFERT.NS,Deepak Fertilisers And Petrochemicals Corporation Limited
ANSALHSG.NS,Ansal Housing & Construction Limited
MRPL-EQ.NS,MANGALORE REFINERY AND PETROCHE
MONNETISPA.NS,Monnet Ispat and Energy Limited
SUTLEJTEX-EQ.NS,SUTLEJ TEXTILES AND INDUSTRIES
OISL-EQ.NS,OCL IRON AND STEEL LIMITED
ANTGRAPHIC-EQ.NS,ANTARCTICA LIMITED INR1
FACT-EQ.NS,FERTILIZERS AND CHEMICALS TRAVA
SURANAT&P.NS,Surana Telecom and Power Limited
PIPAVAVDOC.NS,RELIANCE DEFENCE AND ENGINEERIN
ANDHRSUGAR.NS,The Andhra Sugars Limited
EMKAYTOOLS-SM.NS,EMKAY TAPS AND CUT INR10
GPIL-EQ.NS,GODAWARI POWER AND ISPAT LIMITE
CARERATING.NS,CARE Ratings Limited
SFCL.NS,Star Ferro and Cement Limited
ANGIND.NS,ANG Industries Limited
SANGHVIFOR.NS,Sanghvi Forging & Engineering Limited
BLKASHYAP.NS,B.L. Kashyap and Sons Limited
COX&KINGS.NS,Cox & Kings Limited
ANGIND-EQ.NS,ANG INDUSTRIES LTD INR10
TGBHOTELS.NS,TGB Banquets And Hotels Limited
JPOLYINVST-EQ.NS,JINDAL POLY INV & INR10
TEXMOPIPES-EQ.NS,TEXMO PIPES & PROD INR10
CARERATING-EQ.NS,CREDIT ANALYSIS AND RESEARCH LI
WELINV.NS,Welspun Investments and Commercials Limited
APTECHT.NS,Aptech Limited
APOLSINHOT.NS,Apollo Sindoori Hotels Limited
APLAPOLLO.NS,APL Apollo Tubes Limited
APARINDS.NS,Apar Industries Limited
ELAND.NS,E-Land Apparel Limited
MOMAI-SM.NS,MOMAI APPARELS LTD INR10
APCOTEXIND-EQ.NS,APCOTEX INDUSTRIES LIMITED
APOLLOHOSP-EQ.NS,APOLLO HOSPITALS INR5
APOLLOTYRE.NS,Apollo Tyres Limited
APCOTEXIND.NS,Apcotex Industries Limited
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
APOLLOTYRE-EQ.NS,APOLLO TYRES INR1.00
APOLSINHOT-BE.NS,Apollo Sindoori Hotels Li
GUJAPOLLO.NS,Gujarat Apollo Industries Limited
APOLSINHOT-EQ.NS,APOLLO SINDOORI HO INR10
IPAPPM-EQ.NS,INTERNATIONAL PAPE INR10
ELAND-EQ.NS,E-LAND APPAREL LTD INR10
PANASONIC.NS,Panasonic Appliances India Company Limited
APLAB-BE.NS,APLAB-BE.NS
ARSHIYA.NS,Arshiya Limited
ARSSINFRA.NS,ARSS Infrastructure Projects Limited
ARIHANT.NS,Arihant Foundations & Housing Limited
ARCHIES.NS,Archies Limited
ARCHIDPLY.NS,Archidply Industries Limited
THIRUSUGAR.NS,Thiru Arooran Sugars Limited
ARIHANT-EQ.NS,ARIHANT FOUNDATION INR10(DEMAT)
ARVINDREM-EQ.NS,ARVIND REMEDIES LIMITED
INTELLECT-EQ.NS,INTELLECT DESIGN A INR5
MUKTAARTS-EQ.NS,MUKTA ARTS LIMITED
GILLANDERS-EQ.NS,GILLANDERS ARBUTHN INR10
ARVINFRA-EQ.NS,ARVIND INFRASTRUCT INR10
ARVINDREM-BZ.NS,ARVIND REMEDIES LIMITED
ARVINFRA-BE.NS,ARVIND INFRASTRUCT INR10
AROGRANITE.NS,Aro Granite Industries Limited
ARROWCOAT-EQ.NS,ARROW GREENTECH LI INR10
ARVINDREM.NS,Arvind Remedies Limited
INTELLECT.NS,Intellect Design Arena Limited
ARCOTECH.NS,Arcotech Limited
ARVIND.NS,Arvind Limited
ARCHIES-EQ.NS,ARCHIES LIMITED
MUKTAARTS.NS,Mukta Arts Limited
ARROWCOAT.NS,ARROW GREENTECH LI INR10
ARVINFRA.NS,Arvind SmartSpaces Limited
AROGRANITE-EQ.NS,ARO GRANITE INDUS INR10
ARROWTEX-EQ.NS,ARROW TEXTILES LTD INR10
ARROWTEX.NS,Arrow Textiles Limited
GILLANDERS.NS,Gillanders Arbuthnot and Company Limited
ARCOTECH-EQ.NS,ARCOTECH LTD INR10
ASIANPAINT.NS,Asian Paints Limited
ASTEC.NS,Astec LifeSciences Limited
ASSAMCO.NS,Assam Company India Limited
ASAL.NS,Automotive Stampings and Assemblies Limited
EIHAHOTELS.NS,EIH Associated Hotels Limited
BSLNIFTY-EQ.NS,BIRLA SUN LIFE ASS NIFTY GROWTH
ASIANHOTNR.NS,Asian Hotels (North) Limited
DWSHYD13GP-MF.NS,DEUTSCHE ASSET MGM DWS HYBRID F
ASHAPURMIN.NS,Ashapura Minechem Limited
ASTRAMICRO.NS,Astra Microwave Products Limited
DWSFMP66RG-MF.NS,DEUTSCHE ASSET MGM DWS FMP SR 6
ASIANELEC-BZ.NS,ASIAN ELECTRONIC LTD
H37131JDG2-MF.NS,HDFC ASSET MANAGEM FMP 371D JUN
UTIFEFRGR2-MF.NS,UTI ASSET MANAGEME FOCUS EQTY I
BSLCAP19RG-MF.NS,BIRLA SUN LIFE ASS CAPITAL PRT
SMCSRVRD-MF.NS,SUNDARAM ASSET MAN MICRO CAP V
BSLRGES1RD-MF.NS,BIRLA SUN LIFE ASS SERIES 1-REG
ASHAPURMIN-EQ.NS,ASHAPURA MINE CHEM INR2
HRGESSRG1-MF.NS,HDFC ASSET MANAGEM SR 1-FEB 201
ASTRAZEN.NS,AstraZeneca Pharma India Limited
H37027ARG4-MF.NS,HDFC ASSET MANAGEM FMP 370D AUG
ASTRAL.NS,Astral Poly Technik Limited
JPASSOCIAT.NS,Jaiprakash Associates Limited
ASAHIINDIA-EQ.NS,ASAHI INDIA GLASS INR1
HRGESSRD1-MF.NS,HDFC ASSET MANAGEM SR 1-FEB 201
IDR1AGD-MF.NS,IDBI ASSET MGMT SR I PLAN A-GRO
INFRABEES.NS,RELIANCE NIPPON LI RELIANCE ETF
MC6RD-MF.NS,SUNDARAM ASSET MAN SELECT MICRO
KOTAKNIFTY-EQ.NS,KOTAK MAHINDRA ASS KOTAK NIFTY
ASAHISONG.NS,Asahi Songwon Colors Limited
ASHIANA.NS,Ashiana Housing Limited
SMCSRVRG-MF.NS,SUNDARAM ASSET MAN MICRO CAP V
SMCSRVIRG-MF.NS,SUNDARAM ASSET MAN MICRO CAP VI
SHRIASTER-EQ.NS,SHRI ASTER SILICAT INR10
SC3RG-MF.NS,SUNDARAM ASSET MAN SELECT SMALL
ASIANHOTNR-EQ.NS,ASIAN HOTELS(NORTH INR10
ASHIMASYN.NS,Ashima Limited
ASHIMASYN-EQ.NS,ASHIMA INR10
IDR1ADP-MF.NS,IDBI ASSET MGMT SR I PLAN A-DIV
ASIANTILES.NS,Asian Granito India Limited
ASTEC-EQ.NS,ASTEC LIFESCIENCES LIMITED
BSLFTPLLRG-MF.NS,BIRLA SUN LIFE ASS FIXED TERM P
SHRIASTER.NS,Shri Aster Silicates Limited
ASAHISONG-BE.NS,ASAHI SONGWON COLO INR10
549-MF.NS,SUNDARAM ASSET MAN TOP 100 III(
ASAHIINDIA.NS,Asahi India Glass Limited
BSLRGES1RG-MF.NS,BIRLA SUN LIFE ASS SERIES 1-REG
ASHOKA.NS,Ashoka Buildcon Limited
ATUL.NS,Atul Ltd
ATULAUTO-EQ.NS,ATUL AUTO LTD INR5
ATNINTER-EQ.NS,ATN INTERNATIONAL INR4.00
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited
ATNINTER.NS,ATN International Ltd.
ATULAUTO.NS,Atul Auto Limited
ATLANTA.NS,Atlanta Limited
ATNINTER-BE.NS,ATNINTER-BE.NS
BAJAJ-AUTO.NS,Bajaj Auto Limited
MUNJALAU.NS,Munjal Auto Industries Limited
AUTOLITIND.NS,Autolite (India) Limited
CLUTCHAUTO-EQ.NS,CLUTCH AUTO INR10
AUSOMENT-BE.NS,AUSOM ENTERPRISE INR10
PPAP.NS,PPAP Automotive Limited
LUMAXTECH.NS,Lumax Auto Technologies Limited
AURIONPRO-EQ.NS,AURIONPRO SOLUTIONS LIMITED
INDIGO.NS,InterGlobe Aviation Limited
AVTNPL.NS,AVT Natural Products Limited
AVANTIFEED-EQ.NS,AVANTI FEEDS INR2
AVANTIFEED.NS,AVANTI FEEDS INR2
AVTNPL-EQ.NS,AVT NATURAL PRODUCTS LIMITED
INDIGO-EQ.NS,INTERGLOBE AVIATIO INR10
AXISBANK.NS,Axis Bank Limited
AXISBANK-IL.NS,AXIS BANK INR2
AXISCADES.NS,AXISCADES Engineering Technologies Limited
AXISCADES-EQ.NS,AXISCADES ENGINEER INR10
AXISGOLD.NS,Axis Gold ETF
AUTOAXLES.NS,Automotive Axles Limited
AYMSYNTEX.NS,AYM Syntex Limited
ICICIBANK.NS,ICICI Bank Limited
CANBK.NS,Canara Bank
BALLARPUR.NS,Ballarpur Industries Limited
INDIANB.NS,Indian Bank
IDFCBANK.NS,IDFC Bank Limited
HDFCBANK.NS,HDFC Bank Limited
INDUSINDBK-EQ.NS,INDUSIND BANK INR10
BASF.NS,BASF India Limited
BAJAJCORP.NS,Bajaj Corp Limited
BAGFILMS.NS,B.A.G. Films and Media Limited
BAFNAPHARM.NS,Bafna Pharmaceuticals Limited
BAJAJFINS.NS,BAJAJ FINSERV LIMITED
BANKBEES.NS,Goldman Sachs Bank BeES ETF
PSB-EQ.NS,PUNJAB & SIND BANK
BAJAJ-AUTO-EQ.NS,BAJAJ AUTO LTD INR10
PSUBNKBEES.NS,Goldman Sachs PSU Bank BeES ETF
ORIENTBANK.NS,Oriental Bank of Commerce
BAJFINANCE.NS,Bajaj Finance Limited
BVCL-EQ.NS,BARAK VALLEY CEMEN INR10
BBL.NS,Bharat Bijlee Limited
BBTC-EQ.NS,BOMBAY BURMAH TRADING CORPORATI
BBL-EQ.NS,BHARAT BIJLEE LIMITED
BBTC.NS,"The Bombay Burmah Trading Corporation, Limited"
BDR-IT.NS,BDR Buildcon Limited
BDR.NS,BDR Buildcon Limited
BDR-EQ.NS,BDR BUILDCON LTD INR10
BEML.NS,BEML Limited
MANPASAND.NS,Manpasand Beverages Limited
PSUBNKBEES-EQ.NS,GOLDMAN SACHS PS PSU BANK BENCH
FAGBEARING.NS,Schaeffler India Limited
BEDMUTHA-EQ.NS,BEDMUTHA INDUSTRIES LIMITED
BEML-EQ.NS,BEML LIMITED
BEPL-EQ.NS,BHANSALI ENGINEERING POLYMERS L
SHARIABEES-EQ.NS,BENCHMARK MUTUAL SHARIAH BENCHM
TALWALKARS.NS,Talwalkars Better Value Fitness Limited
HNGSNGBEES-EQ.NS,RELIANCE NIPPON LI RELIANCE ETF
TATAGLOBAL.NS,Tata Global Beverages Limited
BEDMUTHA.NS,Bedmutha Industries Limited
FAGBEARING-EQ.NS,FAG BEARINGS INDIA LIMITED
BERGEPAINT.NS,Berger Paints India Limited
BEARDSELL-EQ.NS,BEARDSELL LTD INR2
NIBL-EQ.NS,NRB INDUSTRIAL BEA INR2
MANPASAND-EQ.NS,MANPASAND BEVERAGE INR10
BEARDSELL-IL.NS,BEARDSELL LTD INR10
BERGEPAINT-EQ.NS,BERGER PAINTS (I) LIMITED
NRBBEARING.NS,NRB Bearings Limited
JUNIORBEES-EQ.NS,NIFTY JR BENCHMARK ETF
ORIENTBELL-EQ.NS,ORIENT BELL LIMITED
NIBL.NS,NRB Industrial Bearings Limited
BEARDSELL-BE.NS,BEARDSELL LTD INR10
NIBL-BE.NS,NRB INDUSTRIAL BEA INR2
BEARDSELL-BL.NS,BEARDSELL LTD INR10
MENONBE.NS,Menon Bearings Limited
BANKBEES-EQ.NS,BENCHMARK BANKBEES
BEL.NS,Bharat Electronics Limited
NIFTYBEES.NS,Goldman Sachs Nifty BeES ETF
LIQUIDBEES.NS,Goldman Sachs Liquid BeES ETF
SHARIABEES.NS,Goldman Sachs Shariah BeES ETF
GOLDBEES.NS,Goldman Sachs Gold BeES ETF
BANARBEADS.NS,Banaras Beads Limited
BEARDSELL-RL.NS,BEARDSELL LTD INR10
HNGSNGBEES.NS,Goldman Sachs Hang Seng BeES ETF
BFUTILITIE.NS,BF Utilities Limited
BFINVEST.NS,BF Investment Limited
SQSBFSI-EQ.NS,SQS INDIA BFSI LTD INR10
SQSBFSI.NS,SQS India BFSI Limited
BGRENERGY.NS,BGR Energy Systems Limited
BGLOBAL-EQ.NS,BHARATIYA GLOBAL INFOMEDIA LIMI
BGRENERGY-EQ.NS,BGR ENERGY SYSTEMS LIMITED
BGLOBAL-BE.NS,BHARATIYA GLOBAL I INR10
BGLOBAL.NS,Bharatiya Global Infomedia Limited
INFRATEL.NS,Bharti Infratel Limited
BHEL.NS,Bharat Heavy Electricals Limited
INFRATEL-EQ.NS,BHARTI INFRATEL LIMITED
BHAGYNAGAR-EQ.NS,BHAGYANAGAR INDIA INR2
BHARTISHIP.NS,BHARATI SHIPYARD LTD.
BHARATFORG.NS,Bharat Forge Limited
BIL-EQ.NS,BHARTIYA INTERNATIONAL LIMITED
DALMIABHA.NS,Dalmia Bharat Limited
BHARTISHIP-BZ.NS,BHARATI SHIPYARD LTD.
BHARATGEAR.NS,Bharat Gears Limited
JAYBARMARU.NS,Jay Bharat Maruti Limited
BHAGERIA.NS,BHAGERIA INDUSTRIE INR5
BHARATIDIL.NS,Bharati Defence And Infrastructure Limited
BHARATRAS.NS,Bharat Rasayan Limited
BEPL.NS,Bhansali Engineering Polymers Limited
BHARATWIRE.NS,Bharat Wire Ropes Limited
BIL.NS,Bhartiya International Limited
NBVENTURES.NS,Nava Bharat Ventures Limited
BHAGYNAGAR.NS,Bhagyanagar India Limited
BHUSANSTL-EQ.NS,BHUSHAN STEEL LIMITED
BHUSANSTL.NS,Bhushan Steel Limited
BIOCON.NS,Biocon Limited
CELESTIAL.NS,Celestial Biolabs Limited
BILENERGY-EQ.NS,BIL ENERGY SYSTEMS INR1
BIRLACOT-BE.NS,BIRLA COTSYN (INDI INR1
NATHBIOGEN-EQ.NS,NATH BIO-GENES (IN INR10
BINDALAGRO-EQ.NS,OSWAL GREENTECH LI INR10
BSLNIFTY.NS,Birla Sun Life Nifty ETF
STERLINBIO.NS,Sterling Biotech Limited
NATHBIOGEN.NS,Nath Bio-Genes (India) Limited
BIRLAPOWER-BZ.NS,BIRLA POWER SOL. LTD
BINDALAGRO.NS,Oswal Greentech Limited
BILENERGY.NS,Bil Energy Systems Limited
BINDALAGRO-BE.NS,OSWAL CHEM & FERT-DEP SET
BIOCON-EQ.NS,BIOCON LIMITED
BIRLACOT.NS,Birla Cotsyn (India) Limited
BSLGOLDETF.NS,Birla Sun Life Gold ETF
BSLELFS5RG-MF.NS,BIRLA SUN LIFE MUT EMERGING LEA
KOPDRUGS-BZ.NS,KDL BIOTECH LIMITED
BSLCAP21RG-MF.NS,BIRLA SUN LIFE MUT CAPITAL PR O
CELESTIAL-EQ.NS,CELESTIAL BIOLABS LIMITED
BSLFTPLVDG-MF.NS,BIRLA SUN LIFE MUT FTP LV 1099D
BILPOWER-BE.NS,BILPOWER LTD INR10(DEMAT)
BILPOWER-EQ.NS,BILPOWER LIMITED
PANACEABIO.NS,Panacea Biotec Limited
BSLFEFS2RG-MF.NS,BIRLA SUN LIFE MUT FOCUSED EQ 2
NATHBIOGEN-BE.NS,Nath Bio-Genes (I) Ltd
SHARONBIO.NS,Sharon Bio-Medicine Ltd.
BIRLAMONEY-EQ.NS,ADITYA BIRLA MONEY INR1
HESTERBIO-EQ.NS,HESTER BIOSCIENCES INR10
BILPOWER.NS,Bilpower Limited
BIRLAERIC-BE.NS,BIRLA ERICSON LTD.
STERLINBIO-EQ.NS,STERLING BIOTECH INR1
BINANIIND.NS,Edayar Zinc Limited
GUFICBIO.NS,Gufic Biosciences Limited
BIRLACORPN.NS,Birla Corporation Limited
HESTERBIO.NS,Hester Biosciences Limited
BANKBARODA-IL.NS,BK OF BARODA INR2
PENPEBS-BE.NS,Pennar Eng Bldg Sys Ltd
BLBLIMITED-EQ.NS,BLB INR1
BLBLIMITED.NS,BLB Limited
PHILIPCARB.NS,Phillips Carbon Black Limited
BLUEDART.NS,Blue Dart Express Limited
BLUECOAST.NS,Blue Coast Hotels Limited
BLUEBLENDS.NS,BLUE BLENDS (INDIA INR10
BLISSGVS.NS,Bliss Gvs Pharma Limited
BLUESTINFO-EQ.NS,BLUE STAR INFOTECH LIMITED
BLUECHIP.NS,Blue Chip India Limited
BLUECHIP-BE.NS,BLUE CHIP INDIA LTD.
BLUECOAST-BE.NS,BLUE COAST HOTELS INR10
PHILIPCARB-EQ.NS,PHILLIPS CARBON BLACK LIMITED
BLUEBLENDS-EQ.NS,BLUE BLENDS (INDIA INR10
BLUEBLENDS-BE.NS,BLUE BLENDS (I) LTD
BLUESTARCO.NS,Blue Star Limited
BLUESTINFO.NS,Blue Star Infotech Ltd.
BLUECOAST-EQ.NS,BLUE COAST HOTELS INR10
NIFTYBEES-EQ.NS,NIFTY BMARK EXCH. TRD FND
GEOJITBNPP.NS,Geojit Financial Services Limited
GEOJITBNPP-EQ.NS,GEOJIT BNP PARIBAS INR1
BNPCPGII-MF.NS,BNP PARIBAS MF CAPITAL PRT ORIE
BODALCHEM.NS,Bodal Chemicals Limited
BODALCHEM-EQ.NS,BODAL CHEMICALS INR2.00
BOSCHLTD-EQ.NS,BOSCH LIMITED
GENUSPAPER-EQ.NS,GENUS PAPER AND BO INR10
BOMDYEING.NS,The Bombay Dyeing and Manufacturing Company Limited
BOMDYEING-EQ.NS,BOMBAY DYEING & MFG COMPANY LIM
GENUSPAPER.NS,Genus Paper & Boards Limited
CEBBCO.NS,Commercial Engineers & Body Builders Co Limited
BODHTREE-BE.NS,BODHTREE-BE.NS
BRFL.NS,Bombay Rayon Fashions Limited
CEBBCO-EQ.NS,COMMERCIAL ENGINEERS & BODY BUI
BPL.NS,BPL Limited
BPL-EQ.NS,BPL LIMITED
DBSTOCKBRO.NS,DB (International) Stock Brokers Ltd
UBL.NS,United Breweries Limited
SUNDRMBRAK.NS,Sundaram Brake Linings Limited
BROADCAST.NS,Broadcast Initiatives Limited
KIRLOSBROS.NS,Kirloskar Brothers Limited
NOIDATOLL-EQ.NS,NOIDA TOLL BRIDGE COMPANY LIMIT
BROOKS.NS,Brooks Laboratories Limited
RBL.NS,Rane Brake Lining Limited
SUNDRMBRAK-EQ.NS,SUNDARAM BRAKE LININGS LIMITED
NOIDATOLL.NS,Noida Toll Bridge Company Limited
SDBL-EQ.NS,SOM DISTIL & BREW INR10
KIRLOSBROS-EQ.NS,KIRLOSKAR BROTHERS INR2
BSELINFRA.NS,BSEL Infrastructure Realty Limited
BSL-EQ.NS,BSL LIMITED
BSLIMITED.NS,BS Limited
BSL.NS,BSL Limited
BURNPUR.NS,Burnpur Cement Limited
PENPEBS.NS,Pennar Engineered Building Systems Limited
BURNPUR-EQ.NS,BURNPUR CEMENT LTD INR10
VIJSHAN.NS,Vijay Shanthi Builders Limited
PENPEBS-EQ.NS,PENNAR ENGINEERED INR10
BYKE.NS,THE BYKE HOSPITALI INR10
THEBYKE.NS,The Byke Hospitality Limited
BYKE-EQ.NS,THE BYKE HOSPITALI INR10
GOACARBON.NS,Goa Carbon Limited
ELECTCAST.NS,Electrosteel Castings Limited
CASTROLIND.NS,Castrol India Limited
CANDC.NS,C & C Constructions Limited
CADILAHC.NS,Cadila Healthcare Limited
SATIN-BL.NS,SATIN CREDIT CARE INR10
CAPLIPOINT-EQ.NS,CAPLIN POINT LABOR INR2
CANFINHOME-EQ.NS,CANFIN HOMES INR10
IPRU2580-MF.NS,ICICI PRUDENTIAL A CAP PRO ORIE
CCCL.NS,Consolidated Construction Consortium Limited
CCHHL.NS,Country Club Hospitality & Holidays Limited
CCHHL-EQ.NS,COUNTRY CLUB HOSPI INR2
CCL.NS,CCL Products (India) Limited
IDEA.NS,Idea Cellular Limited
PRISMCEM.NS,Prism Cement Limited
ITDCEM.NS,ITD Cementation India Limited
EUROCERA.NS,Euro Ceramics Limited
CESC.NS,CESC Limited
CERA.NS,Cera Sanitaryware Limited
CEATLTD.NS,CEAT Limited
CENTEXT-EQ.NS,CENTURY EXTRUSIONS LIMITED
RAMCOCEM.NS,The Ramco Cements Limited
CENTUM-EQ.NS,CENTUM ELECTRONICS INR10
SAGCEM-EQ.NS,SAGAR CEMENTS LIMITED
CENTEXT.NS,Century Extrusions Limited
ORIENTCEM-EQ.NS,ORIENT CEMENT LTD INR1
IDEA-EQ.NS,IDEA CELLULAR LIMITED
ULTRACEMCO.NS,UltraTech Cement Limited
EUROCERA-BE.NS,EUROCERA-BE.NS
KOVAI.NS,Kovai Medical Center & Hospital Ltd.
CEREBRAINT-EQ.NS,CEREBRA INTEGRATED INR10
MANGLMCEM.NS,Mangalam Cement Limited
SAGCEM.NS,Sagar Cements Limited
CEREBRAINT.NS,Cerebra Integrated Technologies Limited
SOMANYCERA.NS,Somany Ceramics Limited
SHYAMCENT-BE.NS,Shyam Century Ferrous Ltd
REGENCERAM-EQ.NS,REGENCY CERAMICS INR10
SHREECEM.NS,Shree Cement Limited
KAKATCEM.NS,Kakatiya Cement Sugar and Industries Limited
CELEBRITY-EQ.NS,CELEBRITY FASHIONS INR10
GSCLCEMENT.NS,Gujarat Sidhee Cement Limited
CENTURYPLY.NS,Century Plyboards (India) Limited
ORIENTCEM.NS,Orient Cement Limited
RAMCOCEM-EQ.NS,RAMCO CEMENTS(THE) INR1
DECOLIGHT.NS,Decolight Ceramics Ltd.
CERA-EQ.NS,CERA SANITARYWARE LIMITED
MURUDCERA.NS,Murudeshwar Ceramics Limited
CENTRALBK-EQ.NS,CENTRAL BANK OF INDIA
JKCEMENT-EQ.NS,JK CEMENT LIMITED
CENTRALBK.NS,Central Bank of India
REGENCERAM.NS,Regency Ceramics Limited
SHYAMCENT.NS,SHYAM CENTURY FERR INR1
CENTURYTEX.NS,Century Textiles and Industries Limited
DECOLIGHT-BE.NS,DECOLIGHT CERAMICS INR10
GSCLCEMENT-EQ.NS,GUJARAT SIDHEE CEM INR10 (NEW)
SHYAMCENT-EQ.NS,SHYAM CENTURY FERR INR1
JKLAKSHMI.NS,JK Lakshmi Cement Limited
CELEBRITY.NS,Celebrity Fashions Limited
DECCANCE.NS,Deccan Cements Limited
CENTUM.NS,Centum Electronics Limited
CENTENKA.NS,Century Enka Limited
SOMANYCERA-EQ.NS,SOMANY CERAMICS LD INR2
INDIACEM.NS,The India Cements Limited
KAJARIACER.NS,Kajaria Ceramics Limited
CGCL-EQ.NS,CAPRI GLOBAL CAPIT INR2
CGCL.NS,Capri Global Capital Limited
SUDARSCHEM.NS,Sudarshan Chemical Industries Limited
CLNINDIA.NS,Clariant Chemicals (India) Limited
CHROMATIC.NS,Chromatic India Limited
RAJSREESUG.NS,Rajshree Sugars and Chemicals Limited
GSFC-IL.NS,GUJARAT STATE FER INR2(POST SUB
BALRAMCHIN-EQ.NS,BALRAMPUR CHINI MI INR1
FCL-EQ.NS,FINEOTEX CHEMICAL INR2
TIRUMALCHM.NS,Thirumalai Chemicals Limited
OMKARCHEM-EQ.NS,OMKAR SPECIALITY CHEMICALS LIMI
MANGCHEFER-EQ.NS,MANGALORE CHEMICALS & FERTILIZE
SRICHAMUND-EQ.NS,Chamundeswari Sug Ltd
ORCHIDCHEM-EQ.NS,ORCHID CHEMICALS & PHARMACEUTIC
DHARSUGAR-EQ.NS,DHARANI SUGARS & CHEMICALS LIMI
HCIL.NS,Himadri Speciality Chemical Limited
CIPLA.NS,Cipla Limited
CIGNITITEC.NS,CIGNITI TECHNOLOGI INR10
CNOVAPETRO-EQ.NS,CIL NOVA PETROCHEM INR10
CINEVISTA.NS,Cinevista Limited
MAHINDCIE.NS,Mahindra CIE Automotive Limited
CIPLA-EQ.NS,CIPLA LIMITED
OPTOCIRCUI.NS,Opto Circuits (India) Ltd
MAHINDCIE-EQ.NS,MAHINDRA CIE AUTO INR10
CINELINE.NS,Cineline India Limited
SHRIRAMCIT.NS,Shriram City Union Finance Limited
OPTOCIRCUI-EQ.NS,OPTO CIRCUITS (INDIA) LIMITED
CNOVAPETRO.NS,CIL Nova Petrochemicals Limited
CIGNITITEC-EQ.NS,CIGNITI TECHNOLOGI INR10
SHRIRAMCIT-EQ.NS,SHRIRAM CITY UNION FINANCE LIMI
CIMMCO.NS,Cimmco Limited
CNOVAPETRO-BE.NS,CIL NOVA PETROCHEM INR10
CLASSIC.NS,Classic Diamonds (India)
INDIANCARD.NS,The Indian Card Clothing Company Limited
CLUTCHAUTO-BE.NS,CLUTCH AUTO LTD
KKCL.NS,Kewal Kiran Clothing Limited
CLASSIC-BZ.NS,CLASSIC DIAMONDS (I) LTD
CLUTCHAUTO.NS,Clutch Auto Ltd.
CLASSIC-BE.NS,CLASSIC DIAMONDS (I) LTD
CLUTCHAUTO-BZ.NS,CLUTCH AUTO LTD
CLASSIC-EQ.NS,CLASSIC DIAMONDS (INDIA) LIMITE
CMAHENDRA.NS,C. Mahendra Exports Limited
CMAHENDRA-BZ.NS,C.MAHENDRA EXPORTS LTD
CMC.NS,CMC Limited
CPSEETF.NS,Goldman Sachs CPSE ETF
CPSEETF-EQ.NS,RELIANCE NIPPON LI CPSE ETF*
GANESHHOUC.NS,Ganesh Housing Corporation Limited
CRMFGETF-EQ.NS,CANARA ROBECO MF GOLD ETF
SHARDACROP-EQ.NS,SHARDA CROPCHEM INR10
CREATIVEYE-EQ.NS,CREATIVE EYE LTD INR10
SATIN-BE.NS,Satin Credit Net Ltd
CRESTANI-BZ.NS,CREST COMM NPP251099DEPO
CROMPGREAV.NS,CG Power and Industrial Solutions Limited
SATIN-IQ.NS,SATIN CREDIT CARE INR10
EXCELCROP.NS,Excel Crop Care Limited
CREATIVEYE.NS,Creative Eye Limited
SATIN-RL.NS,SATIN CREDIT CARE INR10
CRISIL.NS,CRISIL Limited
SATIN-EQ.NS,SATIN CREDIT CARE INR10
SATIN-.NS,SATIN CREDIT CARE NETWORK LTD S
SHARDACROP.NS,Sharda Cropchem Limited
CREST-EQ.NS,CREST VENTURES INR10
SATIN-BT.NS,SATIN CREDIT CARE INR10
SATIN.NS,Satin Creditcare Network Limited
PUNJABCHEM.NS,Punjab Chemicals and Crop Protection Limited
SATIN-IL.NS,SATIN CREDIT CARE INR10
CREST.NS,Crest Ventures Limited
BAYERCROP.NS,Bayer CropScience Limited
CRMFGETF.NS,Canara Robeco Gold ETF
CTE-BE.NS,CAMBRIDGE TECH ENT INR10
CTE-EQ.NS,CAMBRIDGE TECHNOLOGY ENTERPRISE
CTE.NS,Cambridge Technology Enterprises Limited
JSWSTEEL-P1.NS,JSW STEEL LTD INR10 10% CUM RED
CUMMINSIND-EQ.NS,CUMMINS INDIA INR2
CURATECH.NS,CURA Technologies Limited
